"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"花樣滑冰 Stars",176000,14667,"2020","秋番",12,"3.6",337,"谷口悟朗、福島利規","J.C.STAFF","運動","競技","偶像",NULL,NULL,NULL,"原創作品","新作"
"東方少年 第二季",188000,15667,"2022","夏番",12,"4.5",527,"柳沢テツヤ","Ａ・Ｃ・Ｇ・Ｔ","動作","冒險","靈異神怪",NULL,NULL,NULL,"漫畫改編","續作"
"房間露營",862000,66308,"2020","冬番",13,"4.9",3391,"神保昌登","C-Station","喜劇","溫馨","泡麵番","闔家觀賞",NULL,NULL,"漫畫改編","新作"
"怕痛的我，把防禦力點滿就對了 第二季",2673000,222750,"2023","冬番",12,"4.8",11460,"大沼心","SILVER LINK.","冒險","奇幻","喜劇",NULL,NULL,NULL,"小說改編","續作"
"搖滾少女!! 活力棉花糖!!",119000,9917,"2020","冬番",12,"4.8",355,"孫承希","Kinema Citrus","青春","偶像","音樂",NULL,NULL,NULL,"遊戲改編","續作"
"寶石商人理察的謎鑑定",478000,39833,"2020","冬番",12,"4.7",1045,"岩崎太郎","朱夏","職場","推理",NULL,NULL,NULL,NULL,"小說改編","新作"
"number24",324000,24923,"2020","冬番",13,"4.7",703,"きみやしげる","ピー・アール・エー","青春","運動","競技",NULL,NULL,NULL,"原創作品","新作"
"關於我轉生變成史萊姆這檔事 第二季",16078000,618385,"2021","冬番",26,"4.8",14097,"中山敦史","8bit","冒險","奇幻","異世界","魔法","喜劇",NULL,"小說改編","續作"
"虛構推理 第二季",873000,72750,"2023","冬番",12,"4.9",4667,"後藤圭二","Brain's Base","超能力","推理","靈異神怪",NULL,NULL,NULL,"小說改編","續作"
"卡片戰鬥!! 先導者 will+Dress 第二季",24000,2000,"2023","冬番",12,"3.5",137,"森賢、鈴木龍太郎","Kinema Citrus、岐阜Animation、STUDIO JEMI","運動","競技",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"搖滾少女!! STARS!!",80000,6667,"2021","冬番",12,"4.8",237,"池添隆博","Kinema Citrus","青春","偶像","音樂",NULL,NULL,NULL,"遊戲改編","續作"
"小書痴的下剋上：為了成為圖書管理員不擇手段！第三季",835000,69583,"2022","冬番",12,"4.9",3287,"本郷みつる","亞細亞堂","奇幻","異世界","勵志",NULL,NULL,NULL,"小說改編","續作"
"魔法紀錄 魔法少女小圓外傳",872000,67077,"2020","冬番",13,"4.7",1494,"劇団イヌカレー（泥犬）、宮本幸裕","SHAFT","冒險","奇幻","魔法","黑暗",NULL,NULL,"遊戲改編","續作"
"魔術士歐菲 流浪之旅",521000,37214,"2020","冬番",14,"3.2",465,"濱名孝行","STUDIO DEEN","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","續作"
"卡片戰鬥!! 先導者 will+Dress",39000,3000,"2022","夏番",13,"3.8",153,"森賢","Kinema Citrus、ぎふとアニメーション、STUDIO JEMI","校園","競技",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"怕痛的我，把防禦力點滿就對了",6391000,532583,"2020","冬番",12,"4.8",9448,"大沼心、湊未來","SILVER LINK.","冒險","奇幻","喜劇",NULL,NULL,NULL,"小說改編","續作"
"ARGONAVIS from BanG Dream！",157000,12077,"2020","春番",13,"4.5",385,"錦織博","SANZIGEN","青春","勵志","音樂",NULL,NULL,NULL,"原創作品","續作"
"我的英雄學院 OVA：活下來！殊死的生存訓練",352000,176000,"2020","夏番",2,"4.8",1048,"長崎健司、向井雅浩","BONES","動作","超能力","校園","勵志",NULL,NULL,"漫畫改編","續作"
"無意間變成狗，被喜歡的女生撿回家。 年齡限制版",957000,68357,"2023","冬番",14,"4.6",4163,"安藤貴史","Quad","戀愛","18禁",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"異種族風俗娘評鑑指南 年齡限制版",3078000,256500,"2020","冬番",12,"4.8",9081,"小川優樹","Passione","奇幻","異世界","喜劇","18禁",NULL,NULL,"漫畫改編","新作"
"魔術士歐菲 流浪之旅 阿邦拉馬篇",67000,5583,"2023","冬番",12,"3.7",304,"濱名孝行","Studio DEEN","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","續作"
"進擊的巨人 The Final Season",17210000,593448,"2020","秋番",29,"4.9",24841,"林祐一郎","MAPPA","動作","冒險","戰爭","血腥暴力",NULL,NULL,"原創作品","新作"
"第二次被異世界召喚",950000,79167,"2023","春番",12,"3.3",4175,"中西基樹","Studio Elle","冒險","奇幻","異世界","喜劇",NULL,NULL,"小說改編","新作"
"輝夜姬想讓人告白－永不結束的初吻－",788000,197000,"2023","春番",4,"5",11239,"畠山守","A-1 Pictures","校園","喜劇","戀愛",NULL,NULL,NULL,"漫畫改編","續作"
"為美好的世界獻上爆焰！",2483000,206917,"2023","春番",12,"4.9",18462,"安部祐二郎","Drive","奇幻","魔法","校園","喜劇",NULL,NULL,"小說改編","續作"
